rank,title,artist,lastPos,isNew,image
53,London Boy,임영웅,49,False,https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg?75ac9d42dad4c9bee0a91ba960df1770/melon/resize/500/optimize/90
54,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),57,False,https://cdnimg.melon.co.kr/cm2/album/images/113/05/759/11305759_20230814111006_500.jpg?d0b78d0df98510f195ccde3e38769717/melon/resize/500/optimize/90
55,Die With A Smile,Lady Gaga,56,False,https://cdnimg.melon.co.kr/cm2/album/images/115/68/901/11568901_20240816130602_500.jpg?YUV444/melon/resize/500
56,Supersonic,프로미스나인,63,False,https://cdnimg.melon.co.kr/cm2/album/images/115/64/698/11564698_20240812100922_500.jpg?YUV444/melon/resize/500
57,Polaroid,임영웅,51,False,https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg?75ac9d42dad4c9bee0a91ba960df1770/melon/resize/500/optimize/90
58,인생찬가,임영웅,50,False,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg?5bd42dcc031a23cd1cae99ae37a606aa/melon/resize/500/optimize/90
59,나는 아픈 건 딱 질색이니까,(여자)아이들,60,False,https://cdnimg.melon.co.kr/cm2/album/images/114/02/655/11402655_20240129121016_500.jpg?c78f36957ea2f748def29fe988f9518c/melon/resize/500/optimize/90
60,청춘만화,이무진,58,False,https://cdnimg.melon.co.kr/cm2/album/images/116/08/521/11608521_20241004161722_500.jpg?b5d322a7503e7764ea9c459500077642/melon/resize/500/optimize/90
61,I AM,IVE (아이브),62,False,https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg?1af1b1d675154cbc4d581f9b36c75ebf/melon/resize/500/optimize/90
62,비의 랩소디,임재현,59,False,https://cdnimg.melon.co.kr/cm2/album/images/113/76/816/11376816_20231201120653_500.jpg?54e243dd4f188d67c0742fa334acb512/melon/resize/500/optimize/90
63,"무제(無題) (Untitled, 2014)",G-DRAGON,65,False,https://cdnimg.melon.co.kr/cm/album/images/100/69/644/10069644_500.jpg?be6f7c176796471957beb8057c868607/melon/resize/500/optimize/90
64,Small girl (feat. 도경수(D.O.)),이영지,66,False,https://cdnimg.melon.co.kr/cm2/album/images/115/17/951/11517951_20240620173412_500.jpg?925a63393f784e049b76a6fd04b05a1e/melon/resize/500/optimize/90
65,에피소드,이무진,64,False,https://cdnimg.melon.co.kr/cm2/album/images/113/82/987/11382987_20231212165916_500.jpg?82060dc946a39d717c49219cfcdaa6b5/melon/resize/500/optimize/90
66,미안해 미워해 사랑해,Crush,67,False,https://cdnimg.melon.co.kr/cm2/album/images/114/49/278/11449278_20240322170237_500.jpg?4419129e6b95fac2cb5bf541b8528a78/melon/resize/500/optimize/90
67,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,69,False,https://cdnimg.melon.co.kr/cm/album/images/101/49/492/10149492_500.jpg?fa24fa8eabdd1e9e13759225831e2eec/melon/resize/500/optimize/90
68,Magnetic,아일릿(ILLIT),71,False,https://cdnimg.melon.co.kr/cm2/album/images/114/50/069/11450069_20240325110702_500.jpg?96139e1442ce3ea2eafc2742733b3bb2/melon/resize/500/optimize/90
69,헤어지자 말해요,박재정,70,False,https://cdnimg.melon.co.kr/cm2/album/images/112/27/533/11227533_20230419162238_500.jpg?f2aaefe2470b9694d40b0ad16df118a6/melon/resize/500/optimize/90
70,청혼하지 않을 이유를 못 찾았어,이무진,68,False,https://cdnimg.melon.co.kr/cm2/album/images/114/55/285/11455285_20240401151801_500.jpg?03a5b5797abf73e8a0b803d6096f33da/melon/resize/500/optimize/90
71,다정히 내 이름을 부르면,경서예지,72,False,https://cdnimg.melon.co.kr/cm2/album/images/106/10/525/10610525_20210518143433_500.jpg?e8c5aa44ff6608c13fa48eb6a20e81af/melon/resize/500/optimize/90
72,연애편지,임영웅,61,False,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg?5bd42dcc031a23cd1cae99ae37a606aa/melon/resize/500/optimize/90
73,number one girl,로제 (ROSÉ),75,False,https://cdnimg.melon.co.kr/cm2/album/images/116/48/244/11648244_20241122102042_500.jpg?b331813ac87a806706e2a8fca7befbbe/melon/resize/500/optimize/90
74,살기 위해서,순순희,73,False,https://cdnimg.melon.co.kr/cm2/album/images/109/29/042/10929042_20220422022623_500.jpg?8d1d3b214cb89d61665d228cca3fcd2b/melon/resize/500/optimize/90
75,Hype Boy,NewJeans,80,False,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg?1d674a44faffa0ebd34d86c182463171/melon/resize/500/optimize/90
76,Armageddon,aespa,81,False,https://cdnimg.melon.co.kr/cm2/album/images/114/87/023/11487023_20240527154018_500.jpg?1592e95ebf259717f07c393e684b7395/melon/resize/500/optimize/90
77,사랑인가 봐,멜로망스,78,False,https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg?d77ecb572464fd179c5e963a6fe0a351/melon/resize/500/optimize/90
78,인사,범진,76,False,https://cdnimg.melon.co.kr/cm2/album/images/108/21/699/10821699_20231205103724_500.jpg?94428ad48cc1e9a6f6d1cc6f2b69c50a/melon/resize/500/optimize/90
79,Ditto,NewJeans,77,False,https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20231213133532_500.jpg?42f8389c13de0f5f8e4c722bbb0d4bd7/melon/resize/500/optimize/90
80,해야 (HEYA),IVE (아이브),82,False,https://cdnimg.melon.co.kr/cm2/album/images/114/75/530/11475530_20240430093854_500.jpg?YUV444-90/melon/resize/500
81,주저하는 연인들을 위해,잔나비,84,False,https://cdnimg.melon.co.kr/cm/album/images/102/60/858/10260858_500.jpg?02df39ed806cd5e224ae1be4ab9417dd/melon/resize/500/optimize/90
