rank,title,artist,lastPos,peakPos,image
81,Ditto,NewJeans,62,1,https://image.bugsm.co.kr/album/images/256/40824/4082425.jpg
82,사랑인가 봐,멜로망스(MeloMance),100,1,https://image.bugsm.co.kr/album/images/256/40713/4071363.jpg
83,Boom Boom Bass,RIIZE,80,3,https://image.bugsm.co.kr/album/images/256/40997/4099766.jpg
84,Drama,aespa,99,1,https://image.bugsm.co.kr/album/images/256/40929/4092948.jpg
85,주저하는 연인들을 위해,잔나비,67,1,https://image.bugsm.co.kr/album/images/256/202371/20237198.jpg
86,Congratulations,DAY6 (데이식스),82,12,https://image.bugsm.co.kr/album/images/256/5297/529710.jpg
87,"무제(無題) (Untitled, 2014)",G-DRAGON,71,1,https://image.bugsm.co.kr/album/images/256/201018/20101856.jpg
88,Letter To Myself,태연 (TAEYEON),60,1,https://image.bugsm.co.kr/album/images/256/41098/4109844.jpg
89,Spicy,aespa,103,1,https://image.bugsm.co.kr/album/images/256/205634/20563467.jpg
90,해야 (HEYA),IVE (아이브),73,1,https://image.bugsm.co.kr/album/images/256/41006/4100623.jpg
91,To. X,태연 (TAEYEON),91,1,https://image.bugsm.co.kr/album/images/256/40935/4093522.jpg
92,청바지,부석순(SEVENTEEN),85,1,https://image.bugsm.co.kr/album/images/256/41129/4112974.jpg
93,Cruel Summer,Taylor Swift(테일러 스위프트),95,15,https://image.bugsm.co.kr/album/images/256/9228/922832.jpg
94,네모네모,YENA (최예나),74,11,https://image.bugsm.co.kr/album/images/256/206738/20673830.jpg
95,클락션 (Klaxon),(여자)아이들,92,2,https://image.bugsm.co.kr/album/images/256/41041/4104119.jpg
96,사건의 지평선,윤하(Younha/ユンナ),94,1,https://image.bugsm.co.kr/album/images/256/40734/4073469.jpg
97,내가 널 지켜줄게,폴킴(Paul Kim),84,11,https://image.bugsm.co.kr/album/images/256/206946/20694645.jpg
98,ETA,NewJeans,86,1,https://image.bugsm.co.kr/album/images/256/40885/4088574.jpg
99,Super Shy,NewJeans,90,1,https://image.bugsm.co.kr/album/images/256/40885/4088574.jpg
100,Dash,PLAVE,87,1,https://image.bugsm.co.kr/album/images/256/41139/4113992.jpg
